TargetClockPeriod,EstimatedClockPeriod,BestLatency,WorstLatency,IntervalMin,IntervalMax,BRAM_18K,DSP,FF,LUT,URAM,AvailableBRAM_18K,AvailableDSP,AvailableFF,AvailableLUT,AvailableURAM
3.22,2.768,874,875,875,876,645,106,196393,205339,0,2160,4272,850560,425280,80
3.22,2.799,832,833,833,834,757,610,909414,1142446,0,2160,4272,850560,425280,80
3.22,2.768,5601,5601,5602,5602,67,410,86340,106817,0,2160,4272,850560,425280,80
3.22,2.768,5601,5601,5602,5602,67,410,86340,106817,0,2160,4272,850560,425280,80
3.22,2.768,5601,5601,5602,5602,67,410,86340,106817,0,2160,4272,850560,425280,80
3.22,2.768,5601,5601,5602,5602,67,401,86442,107039,0,2160,4272,850560,425280,80
3.22,2.768,5601,5601,5602,5602,22,129,77673,102178,0,2160,4272,850560,425280,80
3.22,2.768,5601,5601,5602,5602,22,129,77642,102155,0,2160,4272,850560,425280,80
3.22,2.768,5601,5601,5602,5602,22,129,77673,102178,0,2160,4272,850560,425280,80
3.22,2.801,820,820,821,821,1,14,237474,545376,0,2160,4272,850560,425280,80
3.22,2.801,820,820,821,821,1,14,237474,545376,0,2160,4272,850560,425280,80
3.22,2.801,820,820,821,821,1,14,237474,545376,0,2160,4272,850560,425280,80
3.22,2.768,5601,5601,5602,5602,12,66,75000,99446,0,2160,4272,850560,425280,80
3.22,2.768,5601,5601,5602,5602,11,65,74905,99397,0,2160,4272,850560,425280,80
3.22,2.768,818,818,819,819,0,303,249786,553952,0,2160,4272,850560,425280,80
